nm, A
532.000000, 0.052356
531.000000, 0.052117
530.000000, 0.051894
529.000000, 0.051879
528.000000, 0.052002
527.000000, 0.052121
526.000000, 0.052388
525.000000, 0.052681
524.000000, 0.053131
523.000000, 0.053639
522.000000, 0.054172
521.000000, 0.054645
520.000000, 0.055332
519.000000, 0.056100
518.000000, 0.056767
517.000000, 0.057702
516.000000, 0.058322
515.000000, 0.059156
514.000000, 0.060017
513.000000, 0.060875
512.000000, 0.061645
511.000000, 0.062725
510.000000, 0.063461
509.000000, 0.064502
508.000000, 0.065377
507.000000, 0.066231
506.000000, 0.067137
505.000000, 0.068067
504.000000, 0.068884
503.000000, 0.069711
502.000000, 0.070524
501.000000, 0.071637
500.000000, 0.072342
499.000000, 0.073186
498.000000, 0.073964
497.000000, 0.074861
496.000000, 0.075732
495.000000, 0.076544
494.000000, 0.077111
493.000000, 0.077951
492.000000, 0.078783
491.000000, 0.079473
490.000000, 0.080122
489.000000, 0.080910
488.000000, 0.081714
487.000000, 0.082596
486.000000, 0.083226
485.000000, 0.083855
484.000000, 0.084568
483.000000, 0.085274
482.000000, 0.085811
481.000000, 0.086608
480.000000, 0.087177
479.000000, 0.087930
478.000000, 0.088424
477.000000, 0.089090
476.000000, 0.089597
475.000000, 0.090220
474.000000, 0.090685
473.000000, 0.091317
472.000000, 0.091679
471.000000, 0.092268
470.000000, 0.092820
469.000000, 0.093400
468.000000, 0.094074
467.000000, 0.094387
466.000000, 0.095096
465.000000, 0.095520
464.000000, 0.095933
463.000000, 0.096444
462.000000, 0.097037
461.000000, 0.097645
460.000000, 0.098066
459.000000, 0.098603
458.000000, 0.099047
457.000000, 0.099729
456.000000, 0.100262
455.000000, 0.100866
454.000000, 0.101276
453.000000, 0.101832
452.000000, 0.102672
451.000000, 0.103331
450.000000, 0.104073
449.000000, 0.105053
448.000000, 0.105941
447.000000, 0.106919
446.000000, 0.108610
445.000000, 0.110321
444.000000, 0.112837
443.000000, 0.115468
442.000000, 0.116907
441.000000, 0.116595
440.000000, 0.115656
439.000000, 0.114398
438.000000, 0.114034
437.000000, 0.114448
436.000000, 0.115319
435.000000, 0.116095
434.000000, 0.116420
433.000000, 0.116565
432.000000, 0.116612
431.000000, 0.116816
430.000000, 0.117081
429.000000, 0.116994
428.000000, 0.117156
427.000000, 0.117054
426.000000, 0.117348
425.000000, 0.117676
424.000000, 0.117857
423.000000, 0.118379
422.000000, 0.119196
421.000000, 0.119584
420.000000, 0.120153
419.000000, 0.120721
418.000000, 0.121429
417.000000, 0.121939
416.000000, 0.122676
415.000000, 0.123726
414.000000, 0.124517
413.000000, 0.125264
412.000000, 0.126028
411.000000, 0.126647
410.000000, 0.127186
409.000000, 0.127943
408.000000, 0.128504
407.000000, 0.129388
406.000000, 0.130210
405.000000, 0.130912
404.000000, 0.131632
403.000000, 0.132546
402.000000, 0.133159
401.000000, 0.133833
400.000000, 0.134722
399.000000, 0.135568
398.000000, 0.136263
397.000000, 0.136989
396.000000, 0.137750
395.000000, 0.138688
394.000000, 0.139384
393.000000, 0.140404
392.000000, 0.141336
391.000000, 0.142269
390.000000, 0.143179
389.000000, 0.144017
388.000000, 0.145199
387.000000, 0.146258
386.000000, 0.147370
385.000000, 0.148435
384.000000, 0.149637
383.000000, 0.151337
382.000000, 0.152996
381.000000, 0.153732
380.000000, 0.154297
379.000000, 0.155070
378.000000, 0.157168
377.000000, 0.158527
376.000000, 0.160725
375.000000, 0.162521
374.000000, 0.166042
373.000000, 0.168410
372.000000, 0.170217
371.000000, 0.173212
370.000000, 0.174861
369.000000, 0.177244
368.000000, 0.180422
367.000000, 0.182606
366.000000, 0.185359
365.000000, 0.188496
364.000000, 0.190458
363.000000, 0.192922
362.000000, 0.195281
361.000000, 0.197356
360.000000, 0.198808
359.000000, 0.200150
358.000000, 0.201016
357.000000, 0.201942
356.000000, 0.202524
355.000000, 0.202282
354.000000, 0.201771
353.000000, 0.201048
352.000000, 0.199943
351.000000, 0.198596
350.000000, 0.198257
349.000000, 0.197430
348.000000, 0.196363
347.000000, 0.196280
346.000000, 0.195243
345.000000, 0.195646
344.000000, 0.194576
343.000000, 0.193444
342.000000, 0.193332
341.000000, 0.192568
340.000000, 0.192047
339.000000, 0.191417
338.000000, 0.190824
337.000000, 0.190565
336.000000, 0.189799
335.000000, 0.190189
334.000000, 0.189981
333.000000, 0.188161
332.000000, 0.187528
331.000000, 0.186747
330.000000, 0.185776
329.000000, 0.183566
328.000000, 0.183019
327.000000, 0.181449
326.000000, 0.179481
325.000000, 0.177652
324.000000, 0.175574
323.000000, 0.173819
322.000000, 0.171840
321.000000, 0.169804
320.000000, 0.168009
319.000000, 0.166062
318.000000, 0.164378
317.000000, 0.162601
316.000000, 0.161066
315.000000, 0.159747
314.000000, 0.158644
313.000000, 0.157311
312.000000, 0.156470
311.000000, 0.155726
310.000000, 0.155269
309.000000, 0.155229
308.000000, 0.155168
307.000000, 0.155551
306.000000, 0.156069
305.000000, 0.156972
304.000000, 0.158108
303.000000, 0.159513
302.000000, 0.161273
301.000000, 0.163425
300.000000, 0.165993
